,client_id,DWP,last_order_channel_at the store,last_order_channel_by phone,last_order_channel_during the visit of a sales rep,last_order_channel_online,last_order_channel_other,last_quantity_ordered,last_sales_net_ordered,first_quantity_ordered,first_sales_net_ordered,first_order_channel_at the store,first_order_channel_by phone,first_order_channel_during the visit of a sales rep,first_order_channel_online,first_order_channel_other,DURATION_SINCE_FIRST_ORDER,DURATION_SINCE_LAST_ORDER,last_difference_ordered,first_difference_ordered,difference_min,difference_max,difference_mean,difference_sum,quantity_min,quantity_max,quantity_mean,quantity_sum,sales_net_min,sales_net_max,sales_net_mean,sales_net_sum,number_regions,number_orderchannels,most_recurent_orderchannel_at the store,most_recurent_orderchannel_by phone,most_recurent_orderchannel_during the visit of a sales rep,most_recurent_orderchannel_online,most_recurent_orderchannel_other,number_products_ordered,number_orders,CHANGE_LAST_3_MONTHS,NUMBER_PRODUCTS_7_MONTH_AGO,NUMBER_PRODUCTS_6_MONTH_AGO,NUMBER_PRODUCTS_5_MONTH_AGO,NUMBER_PRODUCTS_4_MONTH_AGO,NUMBER_PRODUCTS_3_MONTH_AGO,NUMBER_PRODUCTS_2_MONTH_AGO,NUMBER_PRODUCTS_1_MONTH_AGO,order_channel_online_7_MONTH_AGO,order_channel_online_6_MONTH_AGO,order_channel_online_5_MONTH_AGO,order_channel_online_4_MONTH_AGO,order_channel_online_3_MONTH_AGO,order_channel_online_2_MONTH_AGO,order_channel_online_1_MONTH_AGO,order_channel_by phone_7_MONTH_AGO,order_channel_by phone_6_MONTH_AGO,order_channel_by phone_5_MONTH_AGO,order_channel_by phone_4_MONTH_AGO,order_channel_by phone_3_MONTH_AGO,order_channel_by phone_2_MONTH_AGO,order_channel_by phone_1_MONTH_AGO,order_channel_at the store_7_MONTH_AGO,order_channel_at the store_6_MONTH_AGO,order_channel_at the store_5_MONTH_AGO,order_channel_at the store_4_MONTH_AGO,order_channel_at the store_3_MONTH_AGO,order_channel_at the store_2_MONTH_AGO,order_channel_at the store_1_MONTH_AGO,order_channel_during the visit of a sales rep_7_MONTH_AGO,order_channel_during the visit of a sales rep_6_MONTH_AGO,order_channel_during the visit of a sales rep_5_MONTH_AGO,order_channel_during the visit of a sales rep_4_MONTH_AGO,order_channel_during the visit of a sales rep_3_MONTH_AGO,order_channel_during the visit of a sales rep_2_MONTH_AGO,order_channel_during the visit of a sales rep_1_MONTH_AGO,order_channel_other_7_MONTH_AGO,order_channel_other_6_MONTH_AGO,order_channel_other_5_MONTH_AGO,order_channel_other_4_MONTH_AGO,order_channel_other_3_MONTH_AGO,order_channel_other_2_MONTH_AGO,order_channel_other_1_MONTH_AGO,QUANTITY_7_MONTH_AGO,QUANTITY_6_MONTH_AGO,QUANTITY_5_MONTH_AGO,QUANTITY_4_MONTH_AGO,QUANTITY_3_MONTH_AGO,QUANTITY_2_MONTH_AGO,QUANTITY_1_MONTH_AGO,NUMBER_ORDERS_7_MONTH_AGO,NUMBER_ORDERS_6_MONTH_AGO,NUMBER_ORDERS_5_MONTH_AGO,NUMBER_ORDERS_4_MONTH_AGO,NUMBER_ORDERS_3_MONTH_AGO,NUMBER_ORDERS_2_MONTH_AGO,NUMBER_ORDERS_1_MONTH_AGO,SALES_7_MONTH_AGO,SALES_6_MONTH_AGO,SALES_5_MONTH_AGO,SALES_4_MONTH_AGO,SALES_3_MONTH_AGO,SALES_2_MONTH_AGO,SALES_1_MONTH_AGO,NUMBER_BRANCHS_7_MONTH_AGO,NUMBER_BRANCHS_6_MONTH_AGO,NUMBER_BRANCHS_5_MONTH_AGO,NUMBER_BRANCHS_4_MONTH_AGO,NUMBER_BRANCHS_3_MONTH_AGO,NUMBER_BRANCHS_2_MONTH_AGO,NUMBER_BRANCHS_1_MONTH_AGO,timeleft_to_juin,timeleft_to_december,TARGET
22412,500164,201903,1,0,0,0,0,3,5.1336,9,23.4324,1,0,0,0,0,193,1,0,0,,,,0.0,3,401,16.1171875,4126,-546.48,1643.1936,52.074355455326156,13331.034996563498,2,3,1,0,0,0,0,110,256,0.0,1.0,3.0,19.0,16.0,22.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,4.0,22.0,23.0,14.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,266.0,139.0,631.0,9.0,44.0,1.0,4.0,22.0,23.0,23.0,3.0,10.0,153.45600000000005,200.57533333333333,1086.3735666666666,725.0348485714287,2359.0510280000008,51.06,290.81353333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,9,1
43904,968371,201812,0,1,0,0,0,3,209.5392,3,209.5392,0,1,0,0,0,3,3,2,2,,,,0.0,3,17,7.0,28,209.5392,905.1144,495.85239999999993,1983.4096,1,1,0,1,0,0,0,4,4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1983.4096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0,0
19041,426743,201903,0,1,0,0,0,41,694.048,41,694.048,0,1,0,0,0,100,100,99,99,,,,0.0,41,41,41.0,41,694.048,694.048,694.048,694.048,1,1,0,1,0,0,0,1,1,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,142.99560000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9,1
9479,211033,201903,0,0,0,1,0,151,27.784,11,102.05008000000001,0,0,0,1,0,99,1,1,0,,,,0.0,3,201,34.49044585987261,5415,2.898,2550.378,215.87285639915072,33892.03845466666,2,3,0,0,0,1,0,112,157,0.0,10.0,14.0,7.0,15.0,6.0,11.0,16.0,12.0,14.0,0.0,15.0,6.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,309.0,481.0,324.0,238.0,763.0,522.0,12.0,15.0,7.0,16.0,6.0,11.0,16.0,2170.47228,5718.9423333333325,1237.7205893333335,6874.122240000002,1262.015612,1623.990072,3339.6295933333336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,9,1
84302,1843121,201809,0,1,0,0,0,401,119.60386400000004,21,35.91588,0,1,0,0,0,100,1,0,78,,,,0.0,3,140001,10184.665427509291,2739675,-303.6060720000001,9177.0,826.872303642699,222428.64967988606,2,3,0,1,0,0,0,97,269,1.0,19.0,16.0,12.0,19.0,25.0,34.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,18.0,15.0,24.0,37.0,41.0,8.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,245463.0,101496.0,210295.0,206828.0,414081.0,252770.0,125359.0,25.0,18.0,15.0,24.0,37.0,50.0,17.0,26407.01166693868,13453.687891512202,19123.119356000007,22809.874608998198,18049.310888279742,28423.070643899297,4420.5539780952395,1.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,3,1
81712,1783335,201806,0,1,0,0,0,601,321.4492573333333,25,472.65,0,1,0,0,0,95,1,2,95,0.0,90.0,11.3125,181.0,3,1001,99.12121212121212,3271,0.0,709.1084,181.209863959596,5979.925510666666,1,1,0,1,0,0,0,31,33,0.0,0.0,6.0,7.0,3.0,4.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,3.0,4.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,219.0,1223.0,214.0,1349.0,511.0,0.0,6.0,7.0,3.0,4.0,9.0,15.0,0.0,1372.78283,707.8020000000001,1465.6851199999999,733.2486480000001,976.4113793333336,1331.6992026666671,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,1
7101,157142,201803,1,0,0,0,0,3,154.56,11,1.518,1,0,0,0,0,93,91,0,0,0.0,80.0,23.142857142857146,162.0,3,71,20.83333333333333,250,0.0,607.9052457142857,164.06482703174603,1968.7779243809525,1,1,1,0,0,0,0,9,12,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,3.0,3.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1659.6579243809524,154.56,154.56,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,9,0
15939,354483,201806,0,1,0,0,0,101,4.36724,961,128.73155583333335,0,1,0,0,0,96,94,1,71,0.0,1.0,0.5,1.0,101,1601,500.33333333333326,4503,4.36724,128.73155583333335,37.177449341405506,334.5970440726496,1,1,0,1,0,0,0,5,9,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,43.12647200000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
33153,733646,201809,0,1,0,0,0,1001,736.7360000000001,103,275.54721568627457,0,1,0,0,0,5,3,0,13,,,,0.0,3,1001,327.0,1308,0.0,736.7360000000001,321.9165199215687,1287.6660796862748,1,1,0,1,0,0,0,4,4,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,0.0,1004.0,0.0,0.0,296.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,550.9300796862747,0.0,736.7360000000001,0.0,0.0,534.1419636363637,0.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,3,1
61305,1347964,201903,1,0,0,0,0,3,168.36,5,5.75,1,0,0,0,0,192,1,0,0,,,,0.0,3,51,11.555555555555555,416,0.0,485.9808,136.36561488888884,4909.162135999998,2,2,1,0,0,0,0,26,36,1.0,8.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,0.0,5.0,15.0,0.0,11.0,0.0,0.0,0.0,1.0,5.0,0.0,1828.4436960000005,0.0,0.0,0.0,446.936,258.41880000000003,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,9,0
77488,1694618,201812,1,0,0,0,0,3,1106.5116,3,703.8000000000003,0,1,0,0,0,103,9,82,185,,,,0.0,3,3,3.0,9,4.416000000000001,1106.5116,604.9092000000003,1814.7276000000006,2,2,0,1,0,0,0,3,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0
67107,1472814,201903,0,1,0,0,0,21,442.04160000000013,3,99.3324,0,1,0,0,0,194,1,0,0,,,,0.0,3,1001,56.611999999999995,56612,-171.7272,3339.6000000000013,78.29928448425638,78299.28448425638,5,2,1,0,0,0,0,499,1000,1.0,21.0,40.0,61.0,23.0,4.0,37.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,10.0,1.0,4.0,6.0,6.0,19.0,27.0,68.0,28.0,1.0,39.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,1181.0,2542.0,1197.0,75.0,961.0,2393.0,25.0,47.0,78.0,29.0,5.0,45.0,67.0,2088.3386973333336,3970.096822666667,8864.31397047619,1366.9560990990992,1025.3123999999998,2144.7788266666666,4055.85358,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,9,1
57858,1273125,201903,1,0,0,0,0,3,7.7832,3,7.7832,1,0,0,0,0,95,95,0,1,,,,0.0,3,301,63.0,315,7.7832,157.10594666666663,76.74682933333331,383.7341466666666,1,2,1,0,0,0,0,5,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9,0
13330,295401,201809,1,0,0,0,0,9,30.3048,9,30.3048,1,0,0,0,0,8,8,0,0,,,,0.0,9,9,9.0,18,24.4053,30.3048,27.35505,54.7101,1,1,1,0,0,0,0,2,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3,0
16336,363640,201903,0,1,0,0,0,3,158.25840000000005,3,154.56,1,0,0,0,0,97,1,0,0,,,,0.0,3,481,24.15254237288136,4275,-1099.4,1300.4919052631578,130.28838934927455,23061.044914821603,1,2,0,1,0,0,0,102,177,0.0,1.0,8.0,15.0,6.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,14.0,5.0,0.0,1.0,0.0,0.0,3.0,6.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,70.0,684.0,123.0,0.0,3.0,159.0,1.0,8.0,20.0,7.0,0.0,1.0,11.0,358.9870666666667,1971.3474800000006,3038.3779897142854,1038.0393733333333,0.0,158.25840000000005,670.0884619047619,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,9,1
2329,48976,201806,0,1,0,0,0,25,96.4275,3,141.00840000000005,0,1,0,0,0,97,1,0,192,0.0,396.0,18.159663865546214,2161.0,3,4001,127.49799196787147,31747,-3700.608,4437.16,329.619313564825,82075.20907764143,3,2,0,1,0,0,0,197,249,1.0,20.0,18.0,13.0,25.0,15.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,18.0,13.0,22.0,17.0,21.0,14.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,8250.0,51.0,894.0,5393.0,6609.0,82.0,20.0,18.0,13.0,28.0,17.0,21.0,14.0,11206.6935210989,6395.840105416667,6850.2755333333325,9652.613320000002,4705.1663673777775,9289.224549897432,5738.6932,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,6,1
16468,366939,201803,1,0,0,0,0,5,14.95,5,53.291,1,0,0,0,0,93,91,0,0,0.0,92.0,9.7,97.0,3,17,7.869565217391305,181,0.0,142.36693333333338,41.588800000000006,956.5424000000003,1,1,1,0,0,0,0,10,23,0.0,0.0,4.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,133.0,34.0,0.0,0.0,9.0,0.0,4.0,13.0,6.0,0.0,0.0,1.0,0.0,75.7298,684.6486666666667,196.16393333333335,0.0,0.0,387.52470000000005,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,9,1
6749,148921,201809,1,0,0,0,0,7,418.94346666666667,7,418.94346666666667,1,0,0,0,0,8,8,0,0,,,,0.0,3,13,8.142857142857142,57,0.0,418.94346666666667,132.43925714285714,927.0748,1,1,1,0,0,0,0,4,7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3,0
21185,475284,201809,0,1,0,0,0,201,26.776415999999998,3,516.5892,0,1,0,0,0,98,1,0,3,,,,0.0,3,401,63.84375,4086,-304.29,1290.2448000000004,158.67799999801596,10155.391999873022,2,1,0,1,0,0,0,36,64,1.0,0.0,9.0,0.0,3.0,7.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,14.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1089.0,0.0,9.0,738.0,1907.0,11.0,0.0,9.0,0.0,3.0,14.0,23.0,3.0,0.0,2390.9806794285714,0.0,2296.7616000000007,577.3469200000001,1514.7848146666665,3134.9690000000014,0.0,1.0,0.0,2.0,1.0,2.0,2.0,9.0,3,1
49041,1075683,201806,1,0,0,0,0,5,415.77099999999996,101,1635.466336,1,0,0,0,0,96,3,0,7,0.0,103.0,9.487179487179487,370.0,3,401,25.510638297872337,2398,0.0,1635.466336,79.62096029506667,7484.370267736266,1,2,1,0,0,0,0,58,94,0.0,0.0,13.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,14.0,602.0,0.0,0.0,0.0,0.0,15.0,2.0,48.0,0.0,0.0,0.0,0.0,739.3449666666667,48.72136000000001,1990.8246860952386,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6,0
